Program,mutant,catch_avg,avg_fitness,testcases
wstate_indep_qiskit_20.qasm,f3,[0],[0.14929311470355677],"[{""ZIIIIZZIIZIIIIZZIZIZ"": 0.9530179069385749, ""IIIZZIZIIZIZIIIIIZIZ"": 1.0, ""IZIZIIIIIIIIZIIIZZIZ"": -0.20037284456145021, ""ZIIZZZZIZZIZIZZZZZZZ"": 0.7388034051105586, ""IZZIZZIZZIZZZZIIZIII"": -0.7914063966685001, ""ZIIZIZIIZIZZIZZZIZZZ"": -1.0, ""ZZZIZIIZZIIIZZIIIZZI"": -0.2850848026957269, ""ZIIZIIIZZIIZZIIZIIZZ"": 0.38224997231579516, ""ZIIZZZIIIIIZIIZZIZIZ"": -0.5928821278652087, ""ZZZIZZZIIZZIIZIIIZZZ"": -1.0, ""IZIZIIIZZIZZIZZZIIII"": -0.6642670984831803, ""ZZIZZZIZIIIIIIZIIIZI"": 0.3951956671273713, ""ZZZZZIZIZIZZZIZZZIIZ"": -0.2490647187367115, ""IZZZIIIZZZIZIIZZIZIZ"": 0.4583915772295758, ""IIZZZZIZZIZZZZIZZZII"": 0.6038441394274903, ""IIIIZIZZZIZIZIIIIZZZ"": 1.0, ""ZZIIZIIZIIIIIZIIIZZZ"": 1.0, ""IZIZZZIZIIIZIZIZIIII"": -0.4968534133529813, ""IIIZZIZZZIIZIZZIIZII"": 0.2621700038471879, ""IZIIIZIIZZZIZZZZIIZI"": -0.8516409089328633, ""IZZZZZZIZIIIIIZZZZII"": -1.0, ""IZZIIIZIIIIIIZIZIIIZ"": -1.0, ""IZIZIZIIIZZIIZIZZZZI"": -0.7715479974314756, ""ZIIIZZZZIZZIZZIIZZIZ"": -0.17586842470682468, ""IIIIZZZZZIZZZZIZIIZZ"": 0.7757630871713955, ""ZZZIZZZIZZZZIZZZIZIZ"": -1.0, ""IZIZIIIZIIIIIZZIIZII"": 1.0, ""IZZIIZZZIZIZZIZIIZII"": -1.0, ""ZZZIZIIIIZIZZZZZIIIZ"": -1.0, ""ZIZIZIIZZZIIIIZZIIIZ"": -0.35847371295015096, ""IZIIZZZIZIIZZZZZZIII"": -0.8602932051230151, ""ZIIIZZZZIZZIIIZZZIIZ"": -1.0}]"
wstate_indep_qiskit_20.qasm,f2,[0],[0.20778523161226703],"[{""IIIIIZIIZIIZIIIIZIZZ"": 0.22972742568781168, ""IZIZIZIZIZIIZZZZIZZZ"": -0.8041281657525008, ""IZZIZIIIIIZZIZIZZZZI"": -0.9607497752828905, ""ZIZIIIIZIIZZIIIZZZZZ"": 0.6139557332414485, ""IIIIZZZZIIZZZIZZZZII"": -1.0, ""ZIIIZZZZIZZIIIIZZIZI"": 0.8154205799340345, ""ZIIZZIIIZIZZIZIIZZII"": -0.30963388708322326, ""IIIZZIIIIZIIIZZZZIIZ"": 1.0, ""ZZIZZIZZIIIIIZZZZIZI"": -1.0, ""ZZIZZIIZIIZIZZZZZIIZ"": -1.0, ""IIZIZIIZZZZZZZIZIIZZ"": -0.6939528796454795, ""IIIZZIIIIZIZZIIZZIII"": -0.3809019901033045, ""IIIZZIZIIIZZZZIZIIIZ"": -1.0, ""IZIIIZZZZZZZIIZZZZII"": -0.4658802531902668, ""ZIZZIZZIZZIIIIZZZIZI"": -0.4867635336788916, ""IZZIIIZZIZZIIZZZZIII"": 0.31192343498920105, ""ZIIIZIZZZIZZIZZIZZZI"": 0.07391793163693916, ""ZZZZZZZZIIZIZIZZZIZI"": -1.0, ""IIZIZZIZZZIZIIIZZIZI"": -0.7566994558458462, ""ZZIZZIIIZZIIZZIZIZZI"": 0.5498320858156869, ""ZZIIZIZZIZIZZZIIIZZZ"": 1.0, ""ZIIZIIZZZZZIIIZIIZZZ"": -0.5470822894980285, ""ZZIIZZZIIIIZZZZIIZII"": 1.0, ""IZZIZZIIIIIZZZZIIZZZ"": -1.0, ""IZIZIZIIZIZZZZZIIZZI"": -0.11014031204452526, ""IIZIIZZIZZIZIIIIZZII"": 0.9607673190766683, ""ZIIZZIZIIZIIIIZIZZZI"": -1.0, ""ZZIZIIIIZIIIIZZIIZZI"": -0.8461077154796184, ""IIIIZZZIZIIIZZIIZZIZ"": 1.0, ""ZZZZZIZIZZIZIIIZIZII"": 1.0, ""IZZIIIZIZIZZIIZZZIZI"": -1.0, ""ZZZIIZIZZIIZZZIZZIZI"": -1.0}]"
wstate_indep_qiskit_20.qasm,f1,[0],[0.14178692603757825],"[{""IZZZIZIZIIZIIIIZZZZZ"": 1.0, ""ZIIIZIZZZZZZZIZIZIII"": 0.5275729452943426, ""ZIZZIIIIIIZIZZZIIZIZ"": 1.0, ""ZIIIIIZIIIZZIZZZZZZI"": -0.7751214018714733, ""ZZIZIIZIIZZIIZIIZIZZ"": 0.4694194049794431, ""ZZIZZZZIZIIZZIZZIZZI"": 0.7262787170242991, ""ZIZIZZIZIIIIZZZZZZIZ"": -0.524630232232295, ""IIZIZZIIIZIIZZIIZZZI"": -0.3314863151795091, ""ZIZIIIZIZZIZZIIIZIZZ"": -1.0, ""ZIIIIIZIIIIIZIIIZZII"": 1.0, ""ZZZIIZZIZZZIIZZIIIZI"": 0.5887689131099413, ""IZIZZZIZIZZZIIZIZZZI"": 1.0, ""ZIZIIZZIIZIZIZIIZIIZ"": -0.18059939677845072, ""ZIIIZIIZZIIZZIIZZZZI"": -1.0, ""ZZIIIIZZIZIZIIZZIIII"": 0.724954813354374, ""ZZZIIZZIZZZZZIZIZIZZ"": 1.0, ""ZZZZZZZZZZZZZZZZZZIZ"": -0.8889849287748861, ""IZZZZZZZZIIZIIZIIIIZ"": 0.7773363381557836, ""ZIIIIIIZIIZZZIZIZIZZ"": 0.05680850903558454, ""ZIIIIZIIZIIZZIZIIIZI"": 1.0, ""IZZZIZIZZIZZIIIIIIII"": -1.0, ""IIZZZZIIZIZZZZIIIZZI"": 0.1507451408847547, ""ZZIIZIZIZZZZZZZIZZIZ"": -0.616412203815878, ""IZZZIIIIZIIIZZIIIIIZ"": -0.6390195120787404, ""ZZIIIIIZIZZIIZZIIZZI"": 1.0, ""IIIIIIIIIIIIIIIIIIIZ"": 0.1479251414364544, ""IIIZZZIZIIIIIZIIIZIZ"": -1.0, ""ZZIIIIZZZIZZIIZIZIII"": 0.917062059137191, ""IZIIZIZZIIZIIZIIIIIZ"": -0.8399406468741857, ""IIIZIZIIIZIIIIZIIIIZ"": -0.25736767576699915, ""ZIIIZIZIZZZIIIIIZIII"": 1.0, ""ZIIIIZIIIIIIZZIZIZII"": -0.42134415315780066}]"
wstate_indep_qiskit_20.qasm,eq,[0],[0.15985606961846902],"[{""IZIIZIZZIZIIZIIIZIII"": 1.0, ""ZIIIIZZIIIIZZIIIZIZI"": 0.7062441959398764, ""IIZIIIIIIIIZZIIIIZZZ"": 0.6531583026469627, ""IZIIIIZZZZIIIZIZIZIZ"": 0.5731065812666453, ""ZIZZIZZIZZZIZZZIIIII"": 1.0, ""IZZIZZZZIZIZZIZIZIIZ"": 1.0, ""IIZZIIZZZIZZIIZIIIIZ"": 0.13634615069894784, ""ZIIIIZIZZZIIZIIZIIII"": -0.8470728350825798, ""ZZZZIIZIZZIZIZZZIZIZ"": 1.0, ""IIIZIZIZIZZIIZIIIIZZ"": -0.8986034470147575, ""ZZIZZZIZZZZIZZZIIIZI"": 1.0, ""ZZIIZIZZIIZZIIIZIZZI"": -1.0, ""ZZIIZZIIIZZIZIIIZIZI"": -1.0, ""ZZIIZIIIIIIZIZIIIZIZ"": 1.0, ""IZZZZZZIIIIZIZZZIIZI"": 0.4034486925723081, ""ZIIIIIIZIZZZZIIIZZZI"": -1.0, ""IZIZZIZIZIZZZIZIIIZZ"": -0.26835349514693074, ""ZZZZIIZZIIIIZIZIZIIZ"": -1.0, ""ZZZIIZZIIIIIZIIIIZZZ"": -0.737653709768835, ""IIZZIZZIIZZIZIIZZIIZ"": 1.0, ""ZIIIIIIZZZZIIZIIZZII"": 0.9437947818089972, ""ZZIIIIIZIZIIIIZIZIII"": 0.7255224964015075, ""IZIIZIZIIIIZIZIZIZZI"": -1.0, ""IZZZIIIZZIZIZIIZIZIZ"": 1.0, ""ZIZZIZZIZZIIZIZZIZIZ"": 0.16770598395581482, ""IIIZIZIIIIZZIZIZZIZI"": -1.0, ""IZZIZZIIZIIZZZIIIZZZ"": -1.0, ""ZZIZIIIIIZZZIIIIIIII"": 0.048642700508853776, ""IIZIZIIZZIZIZIIZZZII"": 1.0, ""IZZZZIZIIIIZZIZZZZII"": -1.0, ""ZIZZZIIIZIIIZIIZZZZZ"": -1.0, ""ZZZZIIZZZIZZIZZIZZII"": 0.3257610601805024}]"
