model,qubit,mutant,Program,avg_fitness,run
ZNE_ibm_brisbane,5,f3,wstate,0.7930873990298384,1
ZNE_ibm_brisbane,5,f3,wstate,0.7103312973055509,2
ZNE_ibm_brisbane,5,f3,wstate,0.6399917923748843,3
ZNE_ibm_brisbane,5,f3,wstate,0.8870705575463129,4
ZNE_ibm_brisbane,5,f3,wstate,0.6889204297165135,5
ZNE_ibm_brisbane,5,f3,wstate,0.7103312973055509,6
ZNE_ibm_brisbane,5,f3,wstate,0.7103312973055509,7
ZNE_ibm_brisbane,5,f3,wstate,0.7930873990298384,8
ZNE_ibm_brisbane,5,f3,wstate,0.8870705575463129,9
ZNE_ibm_brisbane,5,f3,wstate,0.6889204297165135,10
ZNE_ibm_brisbane,5,f2,wstate,0.5935377430224063,1
ZNE_ibm_brisbane,5,f2,wstate,0.4629976332026873,2
ZNE_ibm_brisbane,5,f2,wstate,0.6940756409529922,3
ZNE_ibm_brisbane,5,f2,wstate,0.9544169596752867,4
ZNE_ibm_brisbane,5,f2,wstate,0.6060595476923418,5
ZNE_ibm_brisbane,5,f2,wstate,0.6940756409529922,6
ZNE_ibm_brisbane,5,f2,wstate,0.5935377430224063,7
ZNE_ibm_brisbane,5,f2,wstate,0.6940756409529922,8
ZNE_ibm_brisbane,5,f2,wstate,0.6940756409529922,9
ZNE_ibm_brisbane,5,f2,wstate,0.4629976332026873,10
ZNE_ibm_brisbane,5,f1,wstate,0.9931790017083376,1
ZNE_ibm_brisbane,5,f1,wstate,0.9011247285935636,2
ZNE_ibm_brisbane,5,f1,wstate,0.797336179509995,3
ZNE_ibm_brisbane,5,f1,wstate,0.6271631123457063,4
ZNE_ibm_brisbane,5,f1,wstate,0.6594162227254765,5
ZNE_ibm_brisbane,5,f1,wstate,0.6594162227254765,6
ZNE_ibm_brisbane,5,f1,wstate,0.9931790017083376,7
ZNE_ibm_brisbane,5,f1,wstate,0.6594162227254765,8
ZNE_ibm_brisbane,5,f1,wstate,0.6594162227254765,9
ZNE_ibm_brisbane,5,f1,wstate,0.9011247285935636,10
ZNE_ibm_brisbane,5,eq,wstate,0.39973003462469026,1
ZNE_ibm_brisbane,5,eq,wstate,0.603124373501541,2
ZNE_ibm_brisbane,5,eq,wstate,0.5689677742303325,3
ZNE_ibm_brisbane,5,eq,wstate,0.3796305281825496,4
ZNE_ibm_brisbane,5,eq,wstate,0.4702621989999095,5
ZNE_ibm_brisbane,5,eq,wstate,0.39973003462469026,6
ZNE_ibm_brisbane,5,eq,wstate,0.4702621989999095,7
ZNE_ibm_brisbane,5,eq,wstate,0.603124373501541,8
ZNE_ibm_brisbane,5,eq,wstate,0.603124373501541,9
ZNE_ibm_brisbane,5,eq,wstate,0.3796305281825496,10
ZNE_ibm_brisbane,5,f3,twolocalrandom,1.3844398266586382,1
ZNE_ibm_brisbane,5,f3,twolocalrandom,1.2150251543089297,2
